FILING_SEQ_NO,AGEGRP,SALARIES,INCOME_HP,Income_BP,TOTAL_INCOME_OS,Aggregate_Income,TI_special_rates,tax_TI_special_rates,GTI,TTI,pitax
289774652,0,1758201,-96000,0,164971,1627172,0,0,1827172,1627172,322546
301727064,0,312538,0,0,61317,221265,81656,16222,455511,302921,11559
281628487,0,1093997,0,0,49003,987296,0,0,1143000,987296,126133
302902803,0,0,0,0,292262,292262,0,0,292262,292262,0
314509503,0,312611,0,0,0,285815,0,0,312611,285815,0
278493843,0,596895,0,0,0,371895,0,0,596895,371895,7405
282386699,0,178914,0,0,0,166574,0,0,178914,166574,0
289895628,1,539758,0,0,27330,417088,0,0,567088,417088,6910
290523828,0,0,0,0,1585,0,0,0,1585,0,0
290305922,1,0,0,777831,3650,635521,0,0,781481,635521,48517
288787709,0,3999087,0,0,586834,4423415,0,0,4585921,4423415,1186585
289785642,0,0,148627,695246,1892,808807,0,0,845765,808807,89364
279422984,1,336035,0,0,115934,423881,0,0,451969,423881,7610
315767377,0,2397500,0,0,1513,2047500,0,0,2199013,2047500,452428
310213628,0,0,0,909717,13345,679940,0,0,923062,679940,62818
305504355,0,0,0,667954,7436,456150,0,0,546947,456150,16083
283775483,0,947381,0,0,109227,891518,0,0,1056608,891518,106403
293387290,0,1091526,0,0,0,941526,0,0,1091526,941526,116704
316817700,0,352534,-17195,0,0,284929,0,0,335339,284929,0
318244658,0,0,75974,374588,0,292333,0,0,450562,292333,0
299069326,0,0,0,1125956,0,975956,0,0,1125956,975956,123797
280899295,0,461851,0,0,0,379909,0,0,461851,379909,8231
289450755,1,0,192500,0,51282,183782,0,0,243782,183782,0
355590348,0,0,0,1634432,49567,1498999,0,0,1683999,1498999,282941
338198352,0,0,0,647740,1579,497740,0,0,649319,497740,20367
288089933,0,411910,0,0,0,336496,0,0,411910,336496,3759
283734498,0,1260515,0,0,46865,1157380,0,0,1307380,1157380,177380
295357106,0,334982,0,0,0,266509,0,0,334982,266509,0
279232221,0,250000,168000,0,14839,270034,565927,84889,998766,835961,89499
325319740,0,215231,0,0,6842,182550,0,0,222073,182550,0
299855743,0,0,354005,0,389223,733621,414085,75858,1157313,1147706,152009
283257865,0,679197,0,0,0,529197,0,0,679197,529197,31765
286645776,0,4132291,0,0,13255,3933746,0,0,4145546,3933746,1035278
293044850,0,380184,0,0,0,230184,0,0,380184,230184,0
277250052,1,0,165014,0,5769648,5758252,1472855,294571,7241107,7231107,1897308
306239019,0,0,0,376355,0,1910651,210810,42162,2178711,2121461,453568
325254081,0,829116,-25093,0,0,654023,0,0,804023,654023,57479
289795592,0,548525,0,0,0,420008,0,0,548525,420008,12361
340406478,0,1874059,0,1332824,73835,2747438,0,0,3040983,2747438,668708
269920314,0,360896,0,0,0,282791,0,0,360896,282791,0
340040726,0,0,0,499300,1365,499300,0,0,500665,499300,27872
331900584,1,0,264264,0,138886,397999,0,0,403150,397999,4944
313396492,0,58195104,0,0,0,57995104,0,0,58195104,57995104,20401273
297886210,0,2410313,0,0,95099,2355412,0,0,2505412,2355412,547572
297313171,0,754078,0,0,90387,677446,0,0,844465,677446,62304
284498241,0,1320000,0,0,0,1170000,0,0,1320000,1170000,181280
272495238,1,0,0,0,178028,170354,0,0,178028,170354,0
292870482,0,976579,0,0,4500,822679,0,0,981079,822679,92222
349648309,0,300000,90895,0,876916,1115026,0,0,1267811,1115026,164293
277642482,0,582389,0,0,0,392389,0,0,582389,392389,9516
284237170,0,911719,-23132,0,169,706544,0,0,888756,706544,68298
275213031,0,2579709,-355779,0,0,2073930,0,0,2223930,2073930,460594
